title,point,date,comment
FICO Score’s Hold on the Credit Market Is Slipping,13 points by JumpCrisscross,1 day ago,2 comments
Colombia boosts budding cannabis industry by removing ban on dry flower exports,134 points by DocFeind,2 days ago,75 comments
Open source APM/exception tracking that I could self host,3 points by SkyLinx,1 day ago,1 comment
Oil and gas companies will prevent world from hitting 1.5°C,7 points by DocFeind,2 days ago,1 comment
‘Honeybees are voracious’: is it time to put the brakes on beekeeping?,22 points by JulianMorrison,1 day ago,1 comment
16 Years in Hiding – Millions of Printers Worldwide Vulnerable,29 points by Brajeshwar,4 days ago,2 comments
How to exfiltrate code from Bitbucket,133 points by et1337,4 days ago,41 comments
Technical Introduction to the Use of Trusted Platform Module 2.0 with Linux [pdf],66 points by 0xdeadb00f,4 days ago,63 comments
App Stores play a bigger role in our social media hellscape than I thought,5 points by mpweiher,20 hours ago,6 comments
Macros on Steroids: How pure C can benefit from metaprogramming,92 points by todsacerdoti,3 days ago,61 comments
First lethal attacks by chimpanzees on gorillas observed,140 points by belter,4 days ago,114 comments
Outbreaks of a drug-resistant superbug fungus spread in two U.S. cities,30 points by potiuper,2 days ago,1 comment
Favouring tools is bad engineering (2018),22 points by _samjarman,1 day ago,14 comments
Why You Should Want Driverless Cars on Roads Now,10 points by technocratius,1 day ago,5 comments
This World of Ours (2014) [pdf],64 points by RcouF1uZ4gsC,4 days ago,6 comments
106M 5G Smartphones Shipped In 2021,30 points by gamingnews,3 days ago,16 comments
Show HN: Sell.app – A simple way to sell digital goods,135 points by youseff,3 days ago,107 comments
UK wants to reform Official Secrets law by pretending journalism doesn't exist,186 points by severine,4 days ago,51 comments
 Facebook took our election ad money then bulk-deleted our pages,257 points by stanislavb,4 days ago,82 comments
93% of Paint Splatters Are Valid Perl Programs (2019),426 points by codetrotter,3 days ago,160 comments
Show HN: StaticBack end I open-sourced my SaaS dev tool,12 points by dstpierre,3 days ago,2 comments
Can consciousness be explained by quantum physics?,30 points by GordonS,1 day ago,75 comments
Apple testing new external display with A13 chip,60 points by tambourine_man,2 days ago,38 comments
We've seen things you people wouldn't believe. Exoplanet building its own moons,64 points by pseudolus,3 days ago,12 comments
My app failed: lessons learned,221 points by kylebolt,3 days ago,170 comments
A natively flexible 32-bit Arm microprocessor,72 points by sam345,4 days ago,6 comments
"Schizophrenia linked to marijuana use disorder is on the rise, study finds",304 points by pseudolus,3 days ago,424 comments
"Plasmid, Virus or Other? DNA ‘Borgs’ Blur Boundaries",25 points by rbanffy,2 days ago,1 comment
Polytetrafluoroethylene (Teflon) as a Way to Increase Food Volume and Satiety,32 points by networked,19 hours ago,49 comments
America Has Lost the Trade War with China,10 points by ytNumbers,14 hours ago,2 comments
Oregon Trail Generation,78 points by mmhsieh,1 day ago,48 comments
Longer interval between Covid-19 Pfizer vaccine doses boosts immunity,75 points by lnyan,2 days ago,62 comments
Audubon pranked fellow naturalist by making up fake rodents (2016),14 points by Someone,4 days ago,1 comment
Why 'I Have Nothing to Hide' Is the Wrong Way to Think About Surveillance (2013),77 points by thunderbong,3 days ago,40 comments
An Urgent Notice from AssemblyScript,73 points by iMuzz,1 day ago,46 comments
The Trillion-Dollar Lie,48 points by curmudgeon22,2 days ago,1 comment
Is Consciousness Bound by Quantum Physics? We're Getting Closer to Finding Out,3 points by starkd,22 hours ago,1 comment
Ubuntu and Arch not that different with regard to performance,4 points by marcodiego,22 hours ago,6 comments
Zepp smartwatch with blood pressure measurement based on RISC-V AI processor,5 points by teleforce,23 hours ago,1 comment
"China sets goal of running single-stack IPv6 network by 2030, orders upgrade",9 points by walterbell,12 hours ago,1 comment
Operation Outward: Attacking power lines with balloons in WWII,8 points by Symmetry,3 days ago,5 comments
Crypto-Trading vs. Options Trading,9 points by Hedgemaster,1 day ago,15 comments
Glued to Your Phone? Here's How to Rethink Your Relationship with Social Media,90 points by r0n0j0y,3 days ago,101 comments
NYC mental health response teams show better results than police,98 points by pseudolus,2 days ago,78 comments
The YouTubers who blew the whistle on an anti-vax plot,84 points by lsllc,20 hours ago,38 comments
iDOS 2 will be gone soon,187 points by taxyovio,3 days ago,122 comments
Akamai Edge DNS was down,465 points by vhab,3 days ago,217 comments
Google patches 8th Chrome zero-day exploited in the wild this year,14 points by pcaversaccio,2 days ago,2 comments
"Tuvix, the Star Trek controversy and meme star, explained",21 points by Tomte,1 day ago,1 comment
US Secret Service Hands Ready (2008),15 points by Tomte,2 days ago,2 comments
"A contentEditable, pasted garbage and caret placement walk into a pub",82 points by askonomm,2 days ago,85 comments
Large Ivermectin Study Retracted,56 points by bb88,1 day ago,53 comments
Ask HN: Any good resources on how to be a great technical advisor to startups?,21 points by _009,3 days ago,5 comments
Modeling libraries don’t matter (2020),31 points by razcle,3 days ago,3 comments
Large study finds Covid-19 is linked to a substantial drop in intelligence,14 points by jimmy2020,1 day ago,5 comments
The CIA's 3-Decade Effort to Mold the World's Views (1977),44 points by AndrewBissell,2 days ago,16 comments
4.6B-year-old meteorite found,97 points by lambersley,3 days ago,39 comments
Electro-hydraulic actuator animates soft mini-robots,12 points by WaitWaitWha,3 days ago,1 comment
"Playdate preview: You won’t believe how fun this dorky, $179 game system is",28 points by CharlesW,2 days ago,8 comments
On anyone-can-spend Pay-to-Taproot outputs before activation,32 points by b10c,2 days ago,63 comments
"Swagger/OpenAPI examples are bad, like reaaalllyy bad",28 points by d3nigma,3 days ago,8 comments
Mercedes-Benz to build eight battery factories in push to become electric-only,26 points by chefkoch,3 days ago,9 comments
Ask HN: Viable Alternative to Kindle and Kindle Store?,7 points by iamnotwhoiam,1 day ago,8 comments
Another misstep for Audacity,82 points by signa11,3 days ago,48 comments
How the internet censorship world turned on NetBlocks,9 points by middleclick,1 day ago,1 comment
Microsoft Re-Designs the iPod Packaging (2006),34 points by Apocryphon,2 days ago,3 comments
He couldn’t get over his fiancee’s death So he brought her back as an AI chatbot,39 points by ChrisArchitect,2 days ago,3 comments
We’re all teenagers now: The adolescent mindset transformed the US and the world,40 points by okareaman,3 days ago,38 comments
A baby-faced CEO turned a Farmville clone into a Ponzi scheme,51 points by gmays,3 days ago,7 comments
Images Are Hard,14 points by feross,3 days ago,5 comments
TypeScript 4.4 Beta,63 points by bpierre,4 days ago,20 comments
Microsoft went from door to door to take malware-infected routers offline,13 points by mardiyah,2 days ago,7 comments
Show HN: CueObserve – Open-source Anomaly detection on SQL data,9 points by sachinkbansal,3 days ago,1 comment
"A priest was outed for using Grindr, experts say it’s a warning sign for privacy",144 points by jasonhansel,3 days ago,150 comments
The economic value of targeting aging,149 points by deegles,3 days ago,151 comments
What license to use to prevent AWS et al. from selling my project as a service?,34 points by ent101,2 days ago,24 comments
Facebook forced to limit misinformation spread via WhatsApp amid Sydney lockdown,14 points by sofixa,2 days ago,3 comments
Startup Digest Developer – Issue #1,4 points by swathidharshna,2 days ago,1 comment
"Despite Tuesday’s flight, Jeff Bezos is running out of time to save Blue Origin",55 points by PaulHoule,3 days ago,115 comments
Under the Wheels (2019),6 points by Tomte,3 days ago,1 comment
Freedom Phone: Why you should avoid it and what else to know,10 points by thunderbong,1 day ago,6 comments
Android has won the phone world war,12 points by sam345,2 days ago,10 comments
"Striking to End Suicide Shifts, Frito-Lay Workers Ask People to Drop the Doritos",122 points by testrun,2 days ago,57 comments
A Grizzly Bear Terrorized a Man for Days in Alaska. The Coast Guard Saw His SOS,7 points by turtlegrids,1 day ago,2 comments
The Novel Material That’s Shrinking Electronics,4 points by jkuria,1 day ago,1 comment
Keep Your Internet Off My Things,30 points by sebg,3 days ago,16 comments
Show HN: Readow.ai – Book recommendations provided by AI,43 points by readow,4 days ago,6 comments
If Richard Feynman applied for a job at Microsoft (2002),210 points by alfiedotwtf,2 days ago,196 comments
The Generational Divide in Software Developers,29 points by daverol,1 day ago,31 comments
Using the Shelly Plug to monitor Starlink's power consumption,6 points by duttaditya18,3 days ago,1 comment
Russia ‘Weaponizing’ AI: Pentagon Intelligence Report,27 points by andreyk,3 days ago,15 comments
"Write signatures, not schemas",8 points by catern,3 days ago,7 comments
Activision Blizzard Sued by California over ‘Frat Boy’ Culture,105 points by gundmc,4 days ago,20 comments
Show HN: What Are You Working On?,10 points by okumurahata,3 days ago,5 comments
The Incoming Currency War,41 points by a9i,3 days ago,29 comments
U.S. senators target tech's legal immunity to stop vaccine misinformation,17 points by ramblenode,3 days ago,11 comments
Is Norway the New East India Company?,173 points by ingve,2 days ago,161 comments
SpaceX to launch the Europa Clipper mission for a bargain price,22 points by kristianp,2 days ago,3 comments
We Need a New Term for Video Games,16 points by donohoe,2 days ago,25 comments
Video Gaming the System,4 points by IndexPointer,3 days ago,2 comments
Show HN: Open-source and paid apps to Build a SaaS product in 2021,8 points by gertjandewilde,3 days ago,1 comment
California moves to cut off water to thousands of farmers,134 points by turtlegrids,1 day ago,178 comments
Ask HN: Tell how a startup/product died for a stupid or unexpected reason,17 points by ibaikov,2 days ago,17 comments
Ask HN: Who's Using NixOps in Production?,12 points by lambdaba,2 days ago,4 comments
Pornhub Is Facing Legal Action from the Louvre over Classical Content,29 points by abbe98,3 days ago,7 comments
Opinion: What I Saw in Yosemite Was Devastating,58 points by uptown,4 days ago,36 comments
Zuckerberg on why the social network is becoming ‘a metaverse company’,30 points by AndrewKemendo,3 days ago,18 comments
SARS-CoV-2 Gamma variant infected 16 fully Pfizer vaccinated Guiana gold miners,215 points by kaczordon,3 days ago,274 comments
Haiti vs. the Dominican Republic,43 points by TeresaaChristie,4 days ago,51 comments
A Defunct Video Hosting Site Is Flooding Normal Websites with Hardcore Porn,36 points by donohoe,3 days ago,10 comments
How to implement worker pools in Rust,10 points by todsacerdoti,4 days ago,2 comments
"In Alabama and Louisiana, partisan opposition to vaccine surges",10 points by Tomte,1 day ago,1 comment
My experience crafting an interpreter with Rust,6 points by panic,3 days ago,1 comment
The top 1% of Americans have about 16 times more wealth than the bottom 50%,35 points by whack,3 days ago,11 comments
Twitter reveals surprisingly low two-factor auth (2FA) adoption rate,12 points by Bhilai,3 days ago,22 comments
DeepMind says it will release the structure of every protein known to science,15 points by grey-area,3 days ago,2 comments
All this abuse and exploitation for a 11 minute amusement park ride into space,25 points by eevilspock,2 days ago,14 comments
Carbon-Capture Pipelines,7 points by geox,1 day ago,3 comments
"PlasticArm: Get Your Next CPU, Made Without Silicon",20 points by vzidex,3 days ago,2 comments
DuckDuckGo Email Protection,33 points by tate,4 days ago,8 comments
Mindfulness meditation can increase selfishness and reduce generosity,32 points by sam345,4 days ago,10 comments
Why don’t we put power lines underground?,13 points by Ottolay,2 days ago,8 comments
CIA director says he is escalating efforts to solve 'Havana Syndrome',104 points by crackercrews,3 days ago,129 comments
Startup Claims Breakthrough in Long-Duration Batteries,10 points by laurex,2 days ago,1 comment
“Heal Hitler”: a new video game where you stop genocide with psychotherapy,7 points by rbanffy,2 days ago,1 comment
Editing a 1GB File at 3000fps,10 points by throwkeep,2 days ago,2 comments
A Priest Was Outed by His Phone's Location Data. Anyone Could Be Next,27 points by dsr12,4 days ago,1 comment
Tour of the Sacred Library,5 points by almostdigital,4 days ago,2 comments
The Case for Location-Independent Salaries,29 points by kwindla,3 days ago,7 comments
There Should Be One Billion Americans – Matthew Yglesias (2020),19 points by isaacimagine,3 days ago,4 comments
The “bugs are 100x more expensive to fix in production” study might not exist,158 points by sohkamyung,4 days ago,130 comments
Clicking 'x' does not quit on Mac,3 points by kanodiaayush,3 days ago,1 comment
CIA officer from bin Laden hunt to lead Havana Syndrome probe as cases rise,21 points by LinuxBender,3 days ago,23 comments
NAC: The Amino Acid That Turns Psychiatry on Its Head (2018),14 points by manmal,2 days ago,4 comments
Amnesty categorically stands by Pegasus Project data set,29 points by basisword,4 days ago,3 comments
A new bill would hold Facebook responsible for Covid-19 vaccine misinformation,8 points by MilnerRoute,1 day ago,1 comment
Cognitive deficits in people who have recovered from Covid-19 [pdf],13 points by alokrai,2 days ago,11 comments
GPS will broadcast a 0 second leap second in 128 days. This will cause no issues,54 points by edward,1 day ago,40 comments
"Argentina Formally Recognizes Nonbinary People, a Latin American First",15 points by renerthr,3 days ago,1 comment
"Rivian raises $2.5B, confirms it’s looking for second US EV factory location",5 points by underscore_ku,2 days ago,1 comment
Advertisements literally being forced into your eyesight,27 points by echelon,4 days ago,3 comments
Scaleway: Incident SSD was stolen during a secure transport between datacenters,73 points by mot2ba,5 hours ago,23 comments
"DeepMind puts the entire human proteome online, as folded by AlphaFold",24 points by FartyMcFarter,3 days ago,1 comment
"‘If You’re Not a Criminal, Don’t Be Afraid’– NSO CEO says",102 points by 925dk,3 days ago,48 comments
Amazon to investigate allegations of discrimination following petition,7 points by throwawaysea,2 days ago,1 comment
Chicken vaccine makes its virus more dangerous (2015),45 points by monort,3 days ago,17 comments
Two more battery fires spark second Chevrolet Bolt EV recall,9 points by LinuxBender,2 days ago,2 comments
Merkel: Germany has not done enough to hit Paris climate targets,20 points by Tomte,3 days ago,8 comments
Ask HN: What is your failed “big rewrite” horror story?,10 points by softwaredoug,2 days ago,5 comments
It's so hot in Dubai that the government is artificially creating rainstorms,11 points by suprfnk,3 days ago,2 comments
Should You Use DynamoDB or MongoDB?,3 points by kiyanwang,2 days ago,2 comments
China sends a drone (UAV) to provide temporary mobile network in disaster area,19 points by lynzrand,4 days ago,5 comments
Windows 98: Should you upgrade now or never? (1998),39 points by Lammy,2 days ago,36 comments
A Grizzly Bear Terrorized a Man for Days in Alaska. The Coast Guard Saw His SOS,17 points by longdefeat,3 days ago,2 comments
Facebook Says ‘Death to Khamenei’ Posts Are OK for the Next Two Weeks,15 points by davweb,2 days ago,10 comments
Coronavirus: Was US money used to fund risky research in China?,48 points by akbarnama,3 days ago,15 comments
"Scammers lead to shut down of passport application system, creating crisis",15 points by us0r,3 days ago,1 comment
Survey of astronomers and geophysicists shines light on bleak systemic bullying,5 points by LinuxBender,2 days ago,2 comments
Lockdown Bait and Switch – By Matt Shapiro – Marginally Compelling,25 points by mrfusion,4 days ago,2 comments
A 3°C world has no safe place,197 points by lsllc,2 days ago,279 comments
Ask HN: Is it common for VCs to ask founders to sign a non-compete?,5 points by Datenstrom,2 days ago,4 comments
Investigation: TikTok's Algorithm Figures Out Your Deepest Desires,11 points by laurex,3 days ago,5 comments
Schizophrenia linked to marijuana use disorder is on the rise,26 points by underscore_ku,2 days ago,26 comments
Is Consciousness Bound by Quantum Physics? We're Getting Closer to Finding Out,8 points by kordlessagain,3 days ago,2 comments
Google made a 16-bit video game that pays homage to Japan hosting the Olympics,3 points by waldekm,2 days ago,1 comment
A Contamination Theory of the Obesity Epidemic,85 points by jasonhansel,2 days ago,99 comments
Ask HN: Can I give less than 2 weeks notice when leaving?,10 points by halfmatthalfcat,3 days ago,13 comments
What would happen if a golf ball doubled in density every hour?,11 points by ftio,3 days ago,1 comment
Ask HN: Spreadsheet like tools that sync to Redshift,5 points by tegansnyder,3 days ago,2 comments
Ask HN: Best way to learn Smalltalk?,14 points by avindroth,4 days ago,13 comments
Ask HN: DNS Outage?,67 points by dgritsko,3 days ago,21 comments
What vaccinated people should know about their risk from the delta varian,37 points by yial,1 day ago,38 comments
Break Dancing Will Be an Olympic Sport in 2024,3 points by mgh2,2 days ago,1 comment
Judge forces US Capitol rioter to unlock laptop seized by FBI,21 points by veganjay,4 days ago,29 comments
The Antikythera Mechanism,23 points by rcaught,4 days ago,3 comments
Organs From Deceased Recipients of AstraZeneca Vaccine May Pose Problems,10 points by AndrewBissell,2 days ago,1 comment
Rainfall flooding is becoming an issue,55 points by prostoalex,3 days ago,50 comments
"Travel websites are down? Airbnb.com, Expedia.com",58 points by hamhamed,3 days ago,34 comments
Nepotism at Y Combinator,12 points by Stevvo,3 days ago,4 comments
Ask HN: Share your personal sites with us?,11 points by hidden-spyder,2 days ago,8 comments
Heat dome brings yet another heat wave this time covering most of the US,14 points by vegetablepotpie,2 days ago,3 comments
Highly accurate protein structure prediction for the human proteome,29 points by brg,3 days ago,1 comment
Xkcd: Dual USB-C (cursed connectors),10 points by Sea-n,2 days ago,1 comment
Ask HN: Why aren't images used as passwords?,4 points by poletopole,3 days ago,9 comments
Jeff Bezos Is Not My Astronaut,25 points by samizdis,2 days ago,10 comments
Is Silicon Valley still worth it?,14 points by sjohns21,3 days ago,19 comments
Women and investors of color prefer cryptocurrency over stocks,16 points by everybodyknows,2 days ago,8 comments
Principles for 35 Years,6 points by absolute100,3 days ago,1 comment
"‘Superbug’ fungus spread in two Dallas-area hospitals, health officials say",6 points by infinite_beam,2 days ago,1 comment
Don't let political contrarianism turn you into a lunatic,5 points by paulpauper,2 days ago,1 comment
Ask HN: Recommendations for Home Solar Install?,8 points by hanklazard,4 days ago,11 comments
Ask HN: What is your SaaS idea?,12 points by chaBha,3 days ago,6 comments
Malicious NPM package steals Chrome passwords,5 points by node01,3 days ago,1 comment
PlasticArm is a 32-bit bendable processor,7 points by rbanffy,2 days ago,1 comment
Tesla will not offer a regular steering wheel on new Model S/X,44 points by tosh,23 hours ago,111 comments
"YouTuber sends AirTag to Tim Cook, and Apple returns it with a letter",7 points by tosh,3 days ago,1 comment
Effectiveness of Covid-19 Vaccines against the B.1.617.2 (Delta) Variant,10 points by pkilgore,3 days ago,3 comments
"Even if you’re paying, you’re still the product",192 points by deworms,4 days ago,210 comments
Ask HN: What are interesting ways to use apps like Airtable or Google Sheets?,6 points by davidbarker,4 days ago,8 comments
Tech firm (Kaseya) hit by giant ransomware hack gets key to unlock victims’ data,5 points by celticninja,3 days ago,1 comment
CDC Director Warns U.S. Is at ‘Another Pivotal Point’ in Pandemic,14 points by hoppyhoppy2,3 days ago,2 comments
"Bezos and Branson not yet astronauts, US says",89 points by geox,2 days ago,148 comments
The Pandemic Was Office Culture and Middle Management's “God Is Dead” Moment,7 points by davidgerard,2 days ago,2 comments
Why is China smashing its tech industry?,10 points by stereoradonc,1 day ago,4 comments
"Gas Engines, and the People Behind Them, Are Cast Aside for Electric Vehicles",27 points by SquibblesRedux,1 day ago,50 comments
Dutch Teen Who Went to Space with Bezos Told Him Never Bought Anything on Amazon,7 points by lnguyen,2 days ago,3 comments
Pegasus spyware seller: Blame our customers not us for hacking,73 points by shivbhatt,4 days ago,108 comments
Millions of U.S. Covid Vaccine Doses Set to Expire and Be Destroyed This Summer,5 points by belltaco,4 days ago,2 comments
California cities rebel against new mask mandate,5 points by mrfusion,2 days ago,2 comments
Ask HN: Favorite alternative to fizzbuzz for a quick test?,8 points by RichardHeart,2 days ago,18 comments
Startup Claims Breakthrough in Long-Duration Batteries,3 points by tim333,3 days ago,1 comment
Half of the pandemic's unemployment money may have been stolen,26 points by mgh2,1 day ago,6 comments
"Our genes shape our gut bacteria, new research shows",4 points by LinuxBender,3 days ago,1 comment
Tesla Autopilot thinks the moon is a yellow traffic light,64 points by ag8,2 days ago,86 comments
TSMC eyes Germany as possible location for first Europe chip plant,340 points by stereoradonc,5 hours ago,241 comments
BLAKE3 1.0,43 points by ta988,1 hour ago,8 comments
Japan pitches 'Society 5.0' to keep its edge in tech and science,12 points by okareaman,20 minutes ago,1 comment
Reducing CO2 emissions by targeting the world's hyper-polluting power plants,46 points by jbotz,46 minutes ago,17 comments
Understanding Rust futures by going way too deep,277 points by tempodox,8 hours ago,71 comments
Launch HN: InstaKin (YC S21) - Help immigrants to manage tasks in home countries,42 points by yshirazi,1 hour ago,13 comments
Tether Executives Said to Face Criminal Probe into Bank Fraud,84 points by camjohnson26,1 hour ago,29 comments
Becoming a Chess Grandmaster,73 points by _ttg,4 hours ago,50 comments
Disinformation Evolved in 2020,24 points by Bluestein,2 hours ago,8 comments
"Finding Windows HANDLE leaks, in Chromium and others",92 points by ingve,7 hours ago,17 comments
"Disinformation for Hire, a Shadow Industry, Is Quietly Booming",133 points by rchaudhary,3 hours ago,109 comments
Windows Defender blocks qBittorrent,142 points by ethbr0,2 hours ago,124 comments
Some stuff I found interesting about number theory research,217 points by luu,11 hours ago,63 comments
My First CSS,218 points by nhardy,10 hours ago,74 comments
S.F. is considering downtown 'congestion pricing.' for those making $46K,24 points by lsllc,49 minutes ago,31 comments
Debian GNU/Linux running bare metal on the Apple M1 with a mainline kernel,158 points by nixcraft,4 hours ago,35 comments
Hillwalkers should love the Comte de Buffon (2020),71 points by ColinWright,7 hours ago,9 comments
Pronouncing non-English names for English speakers,232 points by ingve,14 hours ago,364 comments
Dlib: Modern C++/Python Toolkit for Machine Learning,83 points by hdjjhhvvhga,8 hours ago,15 comments
Deduplicating Archiver with Compression and Encryption,82 points by jiehong,10 hours ago,38 comments
"Steven Weinberg: What Is Quantum Field Theory, and What Did We Think It Is? (1997)",29 points by nabla9,2 hours ago,8 comments
Differences in Semiconductor Soft Errors Caused by Cosmic-Ray Muons and Neutrons,22 points by mkj,5 hours ago,8 comments
Heuristics for Effective Software Development: A continuously evolving list,86 points by dailymorn,9 hours ago,49 comments
Japanese Typewriters,83 points by mkchoi212,9 hours ago,40 comments
Cyber Insurance Incident Response: Market tends towards commoditization,20 points by EwanToo,4 hours ago,13 comments
Why does NBC make it so difficult to watch the Olympics?,117 points by bko,1 hour ago,82 comments
CSX 8888 Runaway Investigation (2001),25 points by Lammy,5 hours ago,20 comments
Google results for PHP tutorials contain SQL injection vulnerabilities,507 points by phil294,19 hours ago,288 comments
Nerdy Reading,24 points by masswerk,6 hours ago,11 comments
Introduction to open source private LTE and 5G networks,558 points by peter_d_sherman,22 hours ago,107 comments
Terracotta: Serverless GeoTiff Tile Server,34 points by xk3,9 hours ago,14 comments
Haiku Beta 3,144 points by bitigchi,10 hours ago,68 comments
"Anna Kiesenhofer: Mathematician, amateur cyclist, Olympic champion",618 points by billfruit,23 hours ago,158 comments
Binary representation of floating-point numbers,44 points by trekhleb,10 hours ago,11 comments
Seed storage devices - stress tests and reviews,17 points by galfarragem,5 hours ago,1 comment
Bank of America using intelligence firms to attack WikiLeaks (2011),36 points by ttctciyf,50 minutes ago,1 comment
Language records reveal a surge of cognitive distortions in recent decades,257 points by jbotz,19 hours ago,129 comments
Show HN: Qatalog.com – Rethinking a Platform for Work,14 points by philbo,3 hours ago,8 comments
Sargable Queries and MUL Indexes; or Why My Query Is Slow,14 points by thomascountz,8 hours ago,4 comments
"Please, enough with the dead butterflies (2017)",572 points by andrelaszlo,1 day ago,194 comments
The SaaS Org Chart,358 points by anacleto,22 hours ago,122 comments
Simulating worlds on the GPU: Four billion years in four minutes,335 points by xk3,21 hours ago,53 comments
Ttfautohint – a 99% automated font hinting process,52 points by pabs3,13 hours ago,12 comments
"Freenom, the free domains website, is a scam",285 points by hackermondev,19 hours ago,143 comments
Amazon reportedly has a ‘key’ to thousands of apartment buildings in US,12 points by BlackPlot,3 hours ago,11 comments
Tomato fruits send electrical warnings to the rest of the plant when attacked,250 points by rustoo,1 day ago,118 comments
Why Japan Didn’t Create the iPod (2008),124 points by sharjeelsayed,11 hours ago,115 comments
2020: Hydrogen-boron fusion could be a dream come true,21 points by ycnews,11 hours ago,4 comments
Ampache: An open source web based audio/video streaming app and file manager,119 points by LinuxBender,18 hours ago,25 comments
QR Codes Are Here to Stay. So Is the Tracking They Allow,19 points by pseudolus,3 hours ago,26 comments
Rumbling meteor lights up Norway; part of it may have landed near Oslo,134 points by DoreenMichele,21 hours ago,39 comments
The Hyper-Specialist Shops of Berlin (2019),90 points by suketk,16 hours ago,51 comments
How AstraZeneca threw away its shot,35 points by Quanttek,2 hours ago,14 comments
Leetcode Compensation report (India) Jan 2019 – Jul 2021,40 points by krumboy,6 hours ago,39 comments
Reversing for dummies – x86 assembly and C code,125 points by FrankSansC,18 hours ago,21 comments
Macro Edit: Democratizing Automation,23 points by jmercouris,14 hours ago,4 comments
Signal on Android: Images sent to wrong contacts,629 points by jiripospisil,21 hours ago,344 comments
Ncdu 2: Less hungry and more Ziggy,222 points by signa11,1 day ago,38 comments
My Fanless OpenBSD Desktop,256 points by rodrigo975,1 day ago,133 comments
Show HN: Job List,4 points by ngc6677,7 hours ago,1 comment
A Victoria man has gone two decades without money,186 points by 8bitsrule,1 day ago,340 comments
Dietary supplements causing severe liver injuries in Australians,9 points by elorant,4 hours ago,3 comments
How to model application flows in React with finite state machines and XState,42 points by boyter,12 hours ago,9 comments
Laptop to Lambda: Outsourcing Everyday Jobs to Thousands of Transient Containers,140 points by mlerner,22 hours ago,22 comments
Moon Tricks Tesla's Full Self-Driving Feature into Thinking It's a Yellow Light,23 points by clashmeifyoucan,9 hours ago,7 comments
Don't Be Anti Car. Be Pro Something Else.,123 points by DoreenMichele,18 hours ago,242 comments
"Hobson's Browser: How Apple, Facebook and Google broke the mobile browser market",110 points by feross,1 day ago,83 comments
Case of a Man 3 Doctors Declared Dead Who Woke Up Just Before His Autopsy,40 points by starkd,13 hours ago,5 comments
How the Python import system works,485 points by zikohh,2 days ago,191 comments
Amazon Web Services In Plain English (2019),277 points by mbildner,1 day ago,89 comments
Show HN: Grow your own with the Raspberry Pi,111 points by alexellisuk,22 hours ago,23 comments
"German gymnastics team, tired of sexualisation, wears unitards at Tokyo Olympics",51 points by DocFeind,16 hours ago,40 comments
Doodle Champion Island Games Begin,30 points by pjmlp,15 hours ago,9 comments
America's “Friendscape” Crisis,67 points by samizdis,22 hours ago,64 comments
UK Weather: Flooding in London after heavy rain,88 points by montalbano,18 hours ago,40 comments
Last of the Titans,33 points by chmaynard,1 day ago,4 comments
Self hosting is important,536 points by hucste,2 days ago,314 comments
Tour of the Sacred Library,79 points by apsec112,22 hours ago,10 comments
The Assange case is collapsing but it remains a travesty of justice,414 points by thinkingemote,18 hours ago,282 comments
"Launch HN: Exams, tasks, K8, eCommerce, cell sites, health, data quality, travel",215 points by dang,3 days ago,121 comments
How does AEMO predict demand in the National Electricity Market?,5 points by jbsimpson,12 hours ago,1 comment
Clubhouse is the big stinker that nobody wants to talk about,183 points by shp0ngle,1 day ago,128 comments
Types versus sets in math and programming languages,104 points by classified,1 day ago,52 comments
Pomodoro Sucks. Try Flowtime,7 points by bamey,6 hours ago,4 comments
1997: Achaea,43 points by paublyrne,17 hours ago,7 comments
Cats N Wires,69 points by polm23,20 hours ago,7 comments
US set for punishing temperatures as ‘heat dome’ to settle over country,110 points by pizza,9 hours ago,132 comments
The argument for switching off lights at night,57 points by throw0101a,21 hours ago,27 comments
Steven Weinberg has died,193 points by chmaynard,1 day ago,8 comments
Elixir: Practical Concurrency Cookbook,107 points by akbarnama,1 day ago,8 comments
Ad men sacked to improve gender pay gap win sex discrimination claim,176 points by thinkingemote,18 hours ago,109 comments
BirdNet – Identify Birds by Sound,694 points by r_singh,3 days ago,151 comments
"Beneath Istanbul, Archaeologists Explore an Ancient City's Byzantine Basements",145 points by pseudolus,1 day ago,27 comments
Form Energy reveals the chemistry of its long-duration battery,190 points by courtf,1 day ago,133 comments
Board Games Have a Colonialism Problem,7 points by webmaven,5 hours ago,2 comments
The 1.111B class of $0.99 .xyz domains white paper,32 points by xxyzz,14 hours ago,41 comments
An Empirical Study of Vulnerabilities in Cryptographic Libraries,103 points by signa11,1 day ago,56 comments
Is Aging Inevitable?,73 points by evo_9,12 hours ago,103 comments
Worse Is Better (2001),87 points by karimf,1 day ago,42 comments
Using Benford’s Law to Detect Bitcoin Manipulation,133 points by luu,1 day ago,79 comments
I Hacked My Standing Desk with a Raspberry Pi,99 points by giuliomagnifico,18 hours ago,54 comments
Prioritizing everything is prioritizing nothing,97 points by ramimac,1 day ago,19 comments
Fluxsort: A stable adaptive partitioning comparison sort,65 points by signa11,1 day ago,18 comments
Scott Aaronson's Tribute to Steven Weinberg,24 points by gautamcgoel,19 hours ago,1 comment
Show HN: A graveyard for my side projects,50 points by bilater,1 day ago,14 comments
The insect apocalypse: ‘Our world will grind to a halt without them’,58 points by tartoran,19 hours ago,7 comments
